Account_Name,Sim_Number,Sim_Type,Sim_Status,account_note
Account_Name,Sim_Number,Sim_Type,Sim_Status,account_note
﻿Account_Name,Sim_Number,Sim_Type,Sim_Status,account_note
John Smith,1234,Eir,Unconsumed,Sim Suspended
Jane Doe,1234,Three,Unconsumed,#
Michael Brown,1234,Eir,Unconsumed,#
Sarah Johnson,1234,Three,Unconsumed,#
David White,1234,Eir,Unconsumed,#
Laura Black,1234,Three,Unconsumed,#
Robert Green,1234,Eir,Unconsumed,Sim Suspended
Emily Turner,1234,Three,Unconsumed,Sim Suspended
James Harris,1234,Eir,Unconsumed,#
Olivia Clark,1234,Three,Unconsumed,#
